	GA11	GA13	GA19	GA2	GA21	GA23	GA25	GA27	GA28	GA31	GA32	GA35	GA37	GA39	GA41	GA43	GA45	GA51	GA53	GA58	GA59	GA60	GA63	GA71	GA72	GA74	GA78	GA82	GA84	GA85	GA88	GA91	GA93	GB106	GB107	GB112	GB116	GB139	GB144	GB145	GB156	GB160	GB162	GB166	GB167	GB170	GB173	GB177	GB188	GB190	GB192	GB98	GCDF195	GCDF198	GCDF205	GCDF212	GCDF216	GCDF220	GCDF224	GCDF227	GCDF228	GCDF231	GCDF237	GCDF247	GCDF256	GCDF260	GCDF267	GCDF271	GCDF275	GCDF278	GCDF282	GCDF286
GA32	0.0600306763868741	0.0661410808262199	0.0366261839640863	0.0202717715780241	0.0150840352101233	0.0542130736314287	0.0211504702315186	0.014853721295808	0.0274455925788392	0.0413449386492221	0	0.0141714436114963	0.0122550087428247	0.0152088267460578	0.0073532719738932	0.0163504800693405	0.0424200846917099	0.03874351193357	0.0307542337575043	0.0432959772796944	0.0470455828489679	0.0215612241923056	0.0203649213848015	0.0299512623066101	0.0480482170753407	0.0318406277025739	0.02905096583106	0.00624998056358009	0.00667511122395294	0.0135396804808724	0.0100087029412577	0.0639070539989255	0.0529285293411125	0.0670685401995375	0.0707439133765722	0.0302686377738913	0.0205493760953723	0.0238468981150425	0.0140742098258789	0.0281956279179966	0.0595139041919299	0.0265638177668807	0.0161459972973762	0.00914543246582263	0.0448211896600145	0.0275905142547657	0.0298293791899476	0.0127857748537814	0.0573946771898655	0.0205756988414008	0.00591223132667235	0.00745486729893589	0.0172259864101017	0.00976534560499148	0.0354132072510894	0.0425046874642974	0.0265082915200654	0.0272035744568013	0.00791683499912985	0.0139476288476902	0.0171102042935525	0.00900520067168117	0.00602698865266648	0.0334046339484477	0.0289887127494722	0.017326928872728	0.0370648189852334	0.00754200129162972	0.0395769846973696	0.00621556861189693	0.0506311107163477	0.00584504356128022
GA35	0.0474361395745566	0.0537668990366387	0.0243445967389929	0.00833260241162145	0.00644055701383023	0.0417407108753017	0.0108623495513592	0.00735513496593657	0.0178541322756145	0.0295307602441747	0.0141714436114963	0	0.0256252389664602	0.0278382739240322	0.0185668947553789	0.00645886493124764	0.0322626439497025	0.0256379817828837	0.0178566734504068	0.0315977921615345	0.0353671498408522	0.0352997837230714	0.0112860141077427	0.0182949954789659	0.0525788916933416	0.0187000076902673	0.0162904424724555	0.0149822488257831	0.0189890265747002	0.00695451821148809	0.00902630191771408	0.0514492003454102	0.0407593657234401	0.0542007857801938	0.0589937977492809	0.0174538878667535	0.00878241531800178	0.0115094042225562	0.00718093933678712	0.0149593366177122	0.0473363737039494	0.0136319888929714	0.00611777915360613	0.0079296392346309	0.0324279800659478	0.0150817279384067	0.0168024589486345	0.0058981715586869	0.0452451458708806	0.00874284874986518	0.0152786590695155	0.0179993465373462	0.00965249474922364	0.00775081138455808	0.022148688803568	0.03002468510672	0.01398837506463	0.0150781585599738	0.0194528310352729	0.00734369041435797	0.0300415558081986	0.00803026433380302	0.0161632142627066	0.0205299989132192	0.016442420159824	0.00748218840336182	0.0239675229608147	0.00915869968858632	0.0268212122880299	0.0137864966215942	0.0376120712231807	0.0150688582222269
GA37	0.0714733049348749	0.0774725290636222	0.0478777067002022	0.0317376367371492	0.026504932545276	0.065524863700072	0.0323072184968476	0.025984517336268	0.0383054188857175	0.0525033921379634	0.0122550087428247	0.0256252389664602	0	0.00686300745130413	0.00922335031197754	0.0278344104499227	0.0532136398057143	0.0502954476108455	0.0422943888250927	0.0542637197056202	0.0578756611606087	0.0107769914973301	0.0312394955656444	0.0411078531031657	0.0465075123791743	0.043386868793856	0.0405082593323907	0.0120938784569841	0.00761625788708434	0.0245785101674347	0.0204531764552806	0.0753204307396605	0.0643347809937867	0.0785925392475393	0.0817904980345206	0.0417111866702937	0.0320258834822611	0.0353464465023893	0.0250163804551568	0.0397297813171389	0.0709231439413446	0.0381013757238785	0.0276036129681149	0.0195992619100243	0.0562016529341539	0.0390450785105879	0.0413729960305823	0.0242633087504091	0.0687701991486429	0.0320935259112204	0.0113068060476728	0.00910359116111214	0.0280967232855884	0.0208315670847742	0.0469543177333444	0.053901106721223	0.0380121683984092	0.0384197360036349	0.00848755713627495	0.0252269522211693	0.00778978953380232	0.019749880133366	0.010987729776058	0.0449281310606183	0.0404367092056106	0.0288028803682237	0.0485901648761949	0.017895544658067	0.0510492072337204	0.013056685469546	0.0621718949440754	0.0116791110133018
GA39	0.0741045285731253	0.0804162700895709	0.0510379240067318	0.0338450413987492	0.0295640531400538	0.0683613853397393	0.0360340614135217	0.0293485791695238	0.042255690754062	0.0561569176162734	0.0152088267460578	0.0278382739240322	0.00686300745130413	0	0.010522295550368	0.0299958024136346	0.0573005707125471	0.0521257095264666	0.044393684413999	0.0582669358136076	0.0620030096609785	0.00854039378816996	0.0353220990774306	0.0447029271962667	0.0490899284680684	0.0451714038058664	0.042900807346509	0.0150909994639494	0.00938136093412535	0.027515253729441	0.0242034718065024	0.0781312636052719	0.0674211667718911	0.0807880170342296	0.0856833868105002	0.0440336846078586	0.0344314005489301	0.0381215232603177	0.0287194736490045	0.0414370651347469	0.0739991840991107	0.0398797399618409	0.0304054480158921	0.0212917480584836	0.0590693263543977	0.0416575223207474	0.0431622283326255	0.0263570029232087	0.0718873121747465	0.034624258056283	0.01321805543278	0.0105122120109048	0.0319009235674384	0.0227311109145633	0.0486596550679568	0.0567108115388287	0.0402404906585662	0.0415632435017162	0.00996378960553557	0.0271539013983324	0.00541824423896168	0.0215660550095367	0.0125884983309067	0.0470991424012064	0.0428805883710433	0.0310103761954139	0.050407336742589	0.0202479546776775	0.0534509699227232	0.0147944392984488	0.0641545058425629	0.0143692370826341
GA41	0.0647898387126248	0.0711269430590398	0.0416915213708023	0.0245411363195139	0.0202919179996984	0.0590693929957019	0.0266942633974432	0.0200727180286188	0.0328727842054584	0.0469380243483818	0.0073532719738932	0.0185668947553789	0.00922335031197754	0.010522295550368	0	0.0207032693662878	0.0480190394352181	0.0428540705693792	0.0351479355847896	0.0490280845475317	0.0526414000325733	0.0180520584778578	0.0260861554850984	0.0354537095949806	0.0484687416541456	0.035868258751703	0.0335970643644381	0.00761522829763102	0.00461743252746987	0.0182728770922757	0.0150453468615359	0.0688151860553207	0.0581903656700043	0.0715228464416783	0.0764420347833874	0.0347703720696948	0.0252232057503378	0.0288731010273249	0.0194710504752819	0.0320930353017768	0.0647399478187465	0.0305640904063528	0.0211892212774002	0.0121395193814121	0.0497155247839412	0.0324224354793327	0.0338452018872656	0.017093381642204	0.0626252956236854	0.0253879435906055	0.00589090102585033	0.00611042849145679	0.0226708399978551	0.0134105742250503	0.039310059086843	0.0474442351948131	0.0310091831711958	0.0321489334896658	0.00607511598376952	0.017764515238767	0.0127446617451355	0.0123524612922344	0.00643926439201408	0.0378094073761292	0.0335851333696734	0.0217343407466707	0.0411212521633416	0.0110460956124683	0.0441234499366596	0.00677313459590266	0.0547806541200238	0.00718805253284635
GA43	0.0446438226058628	0.0509442613657677	0.0215255687803482	0.00663328117683925	0.00570130118785069	0.0389289281547371	0.00865966810802506	0.0068583975009846	0.0164058867493889	0.0267575225802233	0.0163504800693405	0.00645886493124764	0.0278344104499227	0.0299958024136346	0.0207032693662878	0	0.030168363297678	0.0228263346826413	0.0151116113364226	0.0288297470771905	0.0325448970790162	0.0374792352732685	0.0101080845166562	0.0154476365947042	0.0532558847105864	0.0159031784072556	0.0136247627305413	0.0172508852650421	0.0212004283781756	0.0067017574734619	0.00985516654562694	0.0486762618476694	0.0379491933630873	0.0513683196646397	0.0562098860138594	0.0146605574744612	0.00669372559294594	0.00879179606345868	0.00669833325376414	0.0122763346198645	0.0445486204040171	0.0110731796976508	0.00534668668982281	0.00984677737061348	0.0296291874044321	0.0123382586588368	0.013945727540895	0.00622021837677099	0.0424024365992859	0.00691337194505402	0.0174392166999028	0.0201975568526923	0.00950089908402526	0.0086952958084323	0.0193401496655148	0.0272609648586373	0.0111966173716049	0.012492990904403	0.0217142327585154	0.0067471853084627	0.0322327605175852	0.00957669996458924	0.0182657812797286	0.0177266346572927	0.0140013160510929	0.00590000069858415	0.0211189059408927	0.0109028433910524	0.0240348627875474	0.0157291778678432	0.0347238183021545	0.0172649356607122
GA45	0.0513394207063347	0.05717428100079	0.0308733887104976	0.0295630946868297	0.0296071165551742	0.0455006130340725	0.0274763020188218	0.0302957217726443	0.0273805617571178	0.0327189302617552	0.0424200846917099	0.0322626439497025	0.0532136398057143	0.0573005707125471	0.0480190394352181	0.030168363297678	0	0.0336869874724535	0.0299586161707688	0.0273109893267504	0.030831271801332	0.0623074361320698	0.0262982457349397	0.0279988838792449	0.0635298544710333	0.0308535337410491	0.029614986588407	0.0432998986745423	0.0481783652471171	0.031802969316792	0.0341038780682015	0.055092584642798	0.0440740078838185	0.0585961228970325	0.0605653061935998	0.0292704038585376	0.0288512694150811	0.0278837524655491	0.0303031007260686	0.030466995644148	0.0507875390802369	0.0302230768056229	0.0292791913479868	0.0370725406841798	0.0366925692580866	0.0287545073890325	0.0303198214657981	0.0326133748008446	0.048518787072313	0.0287933025998299	0.0443850339512632	0.0476234078670692	0.0299027343703942	0.0357041854900543	0.0322369833787282	0.0349266761443531	0.0291328446544481	0.0285752166363627	0.0486342589737791	0.0334026120377309	0.0591221171798128	0.0369939331266314	0.0453719858719845	0.0309723131734915	0.0293696144163006	0.0299031941238979	0.0327894304022946	0.037691796913442	0.0332810700203132	0.043093484196097	0.0424511255414197	0.0433288721950969
GA51	0.022490427241369	0.0288647961887446	0.0085752387178328	0.0192295417208413	0.0243084077262367	0.0170914734339793	0.021348122987106	0.0256958390783631	0.0261087648645796	0.00903109380871885	0.03874351193357	0.0256379817828837	0.0502954476108455	0.0521257095264666	0.0428540705693792	0.0228263346826413	0.0336869874724535	0	0.00867423280424467	0.0130634339469852	0.0213267388142119	0.0599111883778765	0.0257018984699942	0.0125012083585854	0.0657176540581265	0.00864681619104242	0.0105717498050636	0.0396435713640066	0.0434942863731071	0.0268677614742156	0.0316539906115845	0.0265677754550871	0.0159345483724875	0.0290712310998428	0.0341599457944282	0.00984857187458229	0.0185658593751452	0.0152410541218941	0.0274399906359237	0.0113400035970515	0.0224571697075259	0.0132746405151644	0.0230799077097515	0.0312003249001473	0.00930486312559383	0.0118170885752529	0.00991655239362665	0.0262097450669366	0.0203447243330455	0.0184023542508408	0.0396556851237711	0.0422535534910481	0.0276047220415991	0.0297366817566482	0.00674004419683244	0.00759761517801595	0.0126616336990882	0.0172992439686575	0.0439110283523497	0.0265758088178406	0.0545207452819203	0.0310185706769728	0.0404891823089183	0.00810709293059196	0.0109805919023024	0.021731183170388	0.00675825652933322	0.0328886033308626	0.00725262662903829	0.0379018438321472	0.0123868617969988	0.0396912852584413
GA53	0.0300234706903046	0.0363182934998262	0.00866284275017655	0.0117177246338359	0.0164111574942415	0.024228735888057	0.0135202651532988	0.0177301297004269	0.019267973856944	0.0128068113170395	0.0307542337575043	0.0178566734504068	0.0422943888250927	0.044393684413999	0.0351479355847896	0.0151116113364226	0.0299586161707688	0.00867423280424467	0	0.0152300761523421	0.0216374207720763	0.0519051577782992	0.0178263027672515	0.00807831430986448	0.0593078488653356	0.00627873286915322	0.0063658870513984	0.0316103053175741	0.0355598657119154	0.0189227969997158	0.023599875140747	0.0340258213644377	0.0233026664807565	0.03671139243501	0.0415492187621015	0.00570824631546257	0.0108101624558031	0.00759671979837797	0.0193666357246011	0.00596376624705936	0.0298635403089451	0.00801411549551318	0.0150266362076644	0.0237268867027579	0.0150228407600838	0.00609356146986726	0.00548833595839273	0.0184454842790434	0.0277344161889168	0.0109066015916096	0.0317849344715024	0.0346371990938981	0.0195571527759911	0.0220847480384765	0.00776677878898089	0.0127112526761725	0.00635283148381639	0.0107415071359337	0.03610426456564	0.0189770701190814	0.0466186035838392	0.0234819346935385	0.0326488163849019	0.00687433967518838	0.00636446372619971	0.0141449158868959	0.00879651105861565	0.0249913687902418	0.00993798909746487	0.0301926254736956	0.0200857217752873	0.0316898461073788
GA58	0.0266735859290518	0.0323816883387138	0.0119776639268931	0.0252751483948845	0.028797618612045	0.020798446046132	0.0240817065021456	0.0294039041518864	0.0258825772884067	0.0101827511803783	0.0432959772796944	0.0315977921615345	0.0542637197056202	0.0582669358136076	0.0490280845475317	0.0288297470771905	0.0273109893267504	0.0130634339469852	0.0152300761523421	0	0.0119562962638083	0.0630240088911972	0.0246394474360377	0.0152226510796357	0.0642887798297887	0.0152795906884201	0.0163601703019907	0.0442332383621522	0.0491355024654456	0.031743403637048	0.0345325662820327	0.0303584784269333	0.019212821554957	0.0338606882576991	0.0354391440485764	0.0154713210743861	0.0240235563104201	0.0202527614310384	0.0305055308560229	0.017973679512965	0.0259420291680579	0.0199587921884776	0.0280303152823689	0.0378479733122419	0.0133952798622877	0.01715440711364	0.0165196717575644	0.0322725589979779	0.0236931068333562	0.0238211554183502	0.0453507198829844	0.0486020059748129	0.0293273409132404	0.0361070762002709	0.0138403404635763	0.0125832569578456	0.0185100214856893	0.0219163897381437	0.0496345248562519	0.0330254937888998	0.0601070353930647	0.0375874971387663	0.046334822671582	0.0136966085004987	0.0163898187115638	0.0276332735225107	0.0131294190921266	0.0384788639993981	0.0125301757150076	0.044014290690121	0.0180129341103814	0.0441969830091252
