# Constructed from biom file
#OTU ID	GA1	GA15	GA2	GA21	GA22	GA23	GA25	GA30	GA31	GA32	GA34	GA36	GA38	GA43	GA46	GA47	GA50	GA51	GA53	GA57	GA6	GA64	GA66	GA68	GA69	GA70	GA73	GA74	GA75	GA78	GA80	GA84	GA88	GA90	GA91	GA93	GB104	GB105	GB106	GB107	GB108	GB110	GB111	GB112	GB114	GB117	GB120	GB123	GB124	GB129	GB131	GB132	GB133	GB134	GB135	GB136	GB139	GB140	GB141	GB142	GB145	GB148	GB153	GB154	GB156	GB158	GB160	GB161	GB162	GB163	GB166	GB167	GB168	GB170	GB171	GB172	GB173	GB174	GB176	GB177	GB180	GB181	GB182	GB183	GB185	GB188	GB190	GB191	GB192	GB99	GCDF193	GCDF195	GCDF198	GCDF199	GCDF200	GCDF203	GCDF204	GCDF205	GCDF206	GCDF208	GCDF209	GCDF210	GCDF212	GCDF214	GCDF216	GCDF218	GCDF221	GCDF223	GCDF226	GCDF230	GCDF244	GCDF246	GCDF252	GCDF254	GCDF255	GCDF257	GCDF259	GCDF261	GCDF273	GCDF279	GCDF281	GCDF284	GCDF287	GCDF288
6e1f6277d44a9d626284571d5a68f462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88f3d2a7a2b7fb49d8e4cde973a8c205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a97b9cf658a0c3736061e1185726e5fb	0	0	13	0	0	0	0	0	18	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7336794c5ddd0dd07cee5e05813f4b34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b7244ea7fb75511464dfe7e54d742044	0	7573	0	0	22620	154	0	12844	0	0	0	12654	35108	0	0	0	11568	0	0	0	0	0	0	15160	40025	9481	42174	0	0	0	19608	0	0	0	0	0	0	8513	0	0	8839	0	0	0	30742	9939	0	8771	4309	0	0	0	0	18008	0	0	0	0	0	9891	0	0	4039	0	0	1480	0	0	0	15987	0	0	0	0	0	6676	0	5708	6325	0	0	10000	1949	3389	7141	0	0	0	0	0	0	0	0	0	892	0	0	0	0	3741	782	12902	0	0	0	73	0	3728	0	0	0	1015	560	0	245	581	2285	0	0	0	66	241	0	0
f9a8f7eb646316ec1a73e776ac3b8a5d	26951	21323	32393	33593	16302	26902	32126	17270	28313	35133	20867	18894	10140	33206	20055	36026	17098	28823	30589	19496	22048	32619	17090	17488	6964	17159	5329	30924	20106	30670	20627	36712	33804	31715	25110	27594	28425	27776	24987	24473	23332	8811	32114	31281	10511	22237	35334	24083	25108	26698	29979	35608	31014	19610	31315	39687	32507	28418	34615	22192	31105	30952	22253	32390	25384	33422	31960	36075	34391	17929	34402	27782	37121	31233	27694	29707	31457	30351	29687	33440	31823	19902	25838	31509	24401	27091	31490	35233	36354	19158	35635	32235	34517	28645	33523	25028	5577	30451	35305	18891	34159	18895	28447	5715	30492	36029	32182	31761	38255	34168	37223	34043	27320	37640	36378	34810	29925	35420	35664	37178	33980	27340	33925	33469
13037fdfb522473978de8c968c3e4f89	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	23	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e5f1dd06cdd91ba5af30c232dcaf667d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3518	0	0	0	0	0	0	0	0	0	0	0
4f61a30e2e34b5e66d3b90148ec85ed5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0
d19bebb7879c85f34628fee11b68741f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
