	GA17	GA18	GA20	GA29	GA33	GA40	GA47	GA64	GA65	GA67	GA77	GA79	GA83	GA86	GA87	GA90	GA92	GA96	GB101	GB102	GB105	GB108	GB110	GB111	GB118	GB119	GB120	GB123	GB124	GB128	GB130	GB132	GB136	GB141	GB148	GB151	GB154	GB155	GB158	GB161	GB163	GB164	GB165	GB168	GB169	GB171	GB172	GB174	GB175	GB176	GB178	GB183	GB185	GB189	GB191	GCDF193	GCDF194	GCDF197	GCDF200	GCDF202	GCDF204	GCDF206	GCDF214	GCDF215	GCDF221	GCDF223	GCDF287	GCDF288
GB110	0.293441598162507	0.202961426416431	0.22880848000447	0.224451922407054	0.394526269550275	0.211113361547692	0.102327283928077	0.222072386530915	0.170373520315296	0.197119550572501	0.169793489379714	0.0899943198980481	0.205584004671887	0.332088827936336	0.171688413153393	0.173324687613381	0.193979303042094	0.147408558046351	0.23163267368018	0.121734741661284	0.0219267812755072	0.0219267812755072	0	0.0755589155837743	0.217889991673556	0.146156829979384	0.0984120804703597	0.0219267812755072	0.163146975421996	0.170373520315296	0.0840486812621656	0.0823507281114357	0.0840486812621656	0.0840486812621656	0	0.158103714687656	0	0.125925310633399	0.0975965586011157	0.0840486812621656	0.100851172637759	0.240314915475219	0.178764052388042	0	0.095532327288329	0.0772568686592458	0.0951555979184129	0.0219267812755072	0.0840486812621656	0.0975965583565259	0.137883669405122	0.101664826179845	0.0219267812755072	0.102821299373501	0.0271672505621958	0.125763806053484	0.352565751834349	0.421828112818978	0.0966160379989882	0.166602719989088	0.0798037983100824	0.0551834774739815	0.0543345009738749	0.285972621404763	0.0840486812621656	0.0487773478633226	0.0815017515360707	0.25651122373764
GB111	0.2292556122999	0.136577946406723	0.161879227506091	0.153613235613312	0.33910589078159	0.140754940684396	0.0745972478997451	0.157958598562864	0.0996352885708664	0.136313269309925	0.0994841856411611	0.0948180703568564	0.133050451676051	0.271467891832193	0.0961295021603806	0.105334319023773	0.127477234812698	0.0961776291857464	0.161486227705021	0.046387674522144	0.0943419441505514	0.0943419441505514	0.0755589155837743	0	0.146302206874496	0.079897057979998	0.0625671245383494	0.0943419441505514	0.101649336686189	0.0980283952873163	0.00848976567839131	0.0101877188291213	0.00848976567839131	0.00848976567839131	0.0755589155837743	0.085929760333113	0.0755589155837743	0.0538010420371788	0.0317857072810934	0.00848976567839131	0.0301036780718902	0.177646770170241	0.107095834883777	0.0755589155837743	0.0207751337815114	0.0152815782813111	0.035926938094575	0.0943419441505514	0.00848976567839131	0.0317857075633124	0.147260814209027	0.0292717837775596	0.0943419441505514	0.0289603382951081	0.0551834774739815	0.0537286479816292	0.298903290069464	0.37374926004747	0.0509200013534288	0.109002228638138	0.0127346486304746	0.0288652037129258	0.0331100865144922	0.226650940687066	0.00848976567839131	0.0751171717326147	0.0110366954044862	0.195179122565973
GB118	0.178976910320496	0.197887005604277	0.169408612781101	0.122366423840926	0.298093922436237	0.108272032040839	0.198370007779261	0.26383372193033	0.0642415269306212	0.0895986109219416	0.179499461230907	0.166163713755933	0.100255045569455	0.23685322980387	0.0622762774277215	0.219758376930699	0.238387709765723	0.177497847146834	0.130710480565375	0.111992832386132	0.232821907057907	0.232821907057907	0.217889991673556	0.146302206874496	0	0.185296326950945	0.1732335474455	0.232821907057907	0.217803758503211	0.0642415267801044	0.139881941179434	0.141579894330164	0.139881941179434	0.139881941179434	0.217889991673556	0.145407346462963	0.217889991673556	0.17759413851632	0.161198354504927	0.139881941179434	0.157955686627614	0.241215832004643	0.072535267664176	0.217889991673556	0.146787131374533	0.146232516928153	0.163354400733505	0.232821907057907	0.139881941179434	0.161028536130684	0.152546911641504	0.157038883127347	0.232821907057907	0.122923333461236	0.19222294546739	0.177271446495345	0.378139365953628	0.433183359076278	0.180540082430599	0.079335458727196	0.143950329359734	0.165618676805135	0.16844890590268	0.312845939939672	0.139881941179434	0.206812851431996	0.142340623444379	0.29475887917509
GB119	0.234432625574897	0.157688972474349	0.197451828010004	0.163719804449515	0.330696994608099	0.165468117880701	0.123177168495727	0.179215140866511	0.14115710187741	0.174676953241079	0.102623697878285	0.146124262927156	0.160292907947242	0.283811550022978	0.139337170756224	0.158058943697298	0.136282625824514	0.128528931676739	0.197175728175977	0.0920368145135316	0.162365772281632	0.162365772281632	0.146156829979384	0.079897057979998	0.185296326950945	0	0.12285820929089	0.162365772281632	0.13466315859496	0.141128689351708	0.0719370363336621	0.073531542650678	0.0719370363336621	0.0719370363336621	0.146156829979384	0.1263299721359	0.146156829979384	0.0888058968791456	0.0942132168948048	0.0719370363336621	0.0910950337696557	0.211009001942596	0.134954627528034	0.146156829979384	0.0681558255237913	0.0784315155311064	0.0966028885708915	0.162365772281632	0.0719370363336621	0.0941903131703536	0.194030852781402	0.0902798810992578	0.162365772281632	0.0879077991150846	0.122131681464838	0.111821347828766	0.300368168513582	0.335015029618234	0.100988162248725	0.151452672752467	0.0759469841164772	0.0974293454653687	0.0973575378984514	0.258485746880372	0.0719370363336621	0.138123695145954	0.0743424409266674	0.238036838896347
GB120	0.235395169318324	0.128847527157779	0.154231351301676	0.195617588331001	0.341495731563279	0.184492423227339	0.113590870809864	0.196510595467054	0.145194069755198	0.156425184222183	0.14356358830977	0.128442795067612	0.177706302867995	0.29981522420139	0.144902069309745	0.147870011853449	0.168178281699768	0.134771413536686	0.203263636791345	0.0955383172635027	0.116347134094497	0.116347134094497	0.0984120804703597	0.0625671245383494	0.1732335474455	0.12285820929089	0	0.116347134094497	0.143692265970237	0.145092471907235	0.0589958015415404	0.0589049548061207	0.0589958015415404	0.0589958015415404	0.0984120804703597	0.132234216197347	0.0984120804703597	0.100346704436974	0.0791465937714986	0.0589958015415404	0.0772964622863013	0.159694340644461	0.153560595229419	0.0984120804703597	0.070211679232542	0.0639079672218573	0.0832004084091897	0.116347134094497	0.0589958015415404	0.0776691482110758	0.174264874017675	0.0780226996525972	0.116347134094497	0.0788028937096548	0.0878766671274648	0.100451226713079	0.327569443318579	0.394793293090782	0.0938875850929756	0.151204429943152	0.0598447780416469	0.0723851785966844	0.0730556003523595	0.255162396402371	0.0589958015415404	0.108150349309047	0.0597539313814857	0.231032663222515
GB123	0.305665584676193	0.217118746629267	0.242599755375072	0.239140440267746	0.40365572469403	0.226282270418273	0.120111855668853	0.235412029003856	0.187115242535418	0.212860398069777	0.185364202116475	0.108934084800157	0.220970544851188	0.34311263428794	0.18837110984205	0.188444516047685	0.20829869174596	0.163869972933422	0.246006228707053	0.139356030659242	0	0	0.0219267812755072	0.0943419441505514	0.232821907057907	0.162365772281632	0.116347134094497	0	0.144386116829183	0.187115242234384	0.102478479721931	0.100851172844719	0.102478479721931	0.102478479721931	0.0219267812755072	0.174356782300906	0.0219267812755072	0.142738487684365	0.077366175675633	0.102478479721931	0.0806937530787304	0.253036361451101	0.195169417695566	0.0219267812755072	0.113541808619042	0.0959692511406511	0.0748704925480515	0	0.102478479721931	0.0773661753745994	0.155752826482058	0.0815256473542464	0	0.120891617611051	0.0479636937944275	0.142599877760266	0.36193407078584	0.429357240597407	0.076363668207907	0.183490429261718	0.0984102120303144	0.0748142593286254	0.074000606633196	0.2973692499929	0.102478479721931	0.0274525140271042	0.100037519170931	0.268700367272502
GB124	0.279760163540792	0.202988135543737	0.22647814272028	0.213257224195533	0.375855368797225	0.211882602235284	0.146555449644273	0.220327696113875	0.177383182927816	0.208402379594668	0.164985942644904	0.172404365369467	0.204968278004666	0.315138851753389	0.175659188266956	0.175594143437767	0.175246708320849	0.170881827597064	0.22894886978949	0.128822919583381	0.144386116829183	0.144386116829183	0.163146975421996	0.101649336686189	0.217803758503211	0.13466315859496	0.143692265970237	0.144386116829183	0	0.177099156710837	0.0944851492202342	0.0957465067016657	0.0944851492202342	0.0944851492202342	0.163146975421996	0.161541037242671	0.163146975421996	0.132355793332211	0.080442413311414	0.0944851492202342	0.0774175956506621	0.23725865555532	0.183572890707339	0.163146975421996	0.104841279355113	0.100666022135152	0.0825511733013572	0.144386116829183	0.0944851492202342	0.0799859503491057	0.22531855234293	0.0765671054409309	0.144386116829183	0.113130770586055	0.140892711458634	0.0977887394790999	0.340013612099368	0.396430983687892	0.0991828561657005	0.187239641191983	0.0974541127945137	0.11836384872746	0.116908995171237	0.278955613347617	0.0944851492202342	0.120124965341705	0.0964893939331023	0.252310535371906
GB128	0.160418341933477	0.195638457030961	0.162595323465689	0.0713692089411044	0.288415711354276	0.0557157666695238	0.155120784059317	0.228091187097809	0.00624839517504278	0.049671628634737	0.135604184948736	0.114079186297727	0.0466223954401835	0.209811861730284	0.00416559650741442	0.179745560417874	0.200182301980076	0.133836305436838	0.0809089574548933	0.0591033449528193	0.187115242234384	0.187115242234384	0.170373520315296	0.0980283952873163	0.0642415267801044	0.141128689351708	0.145092471907235	0.187115242234384	0.177099156710837	0	0.0911455232687671	0.0912365834369804	0.0911455232687671	0.0911455232687671	0.170373520315296	0.0975535006986724	0.170373520315296	0.132701362624313	0.114423904680845	0.0911455232687671	0.111096327654039	0.246200979960085	0.015375589895429	0.170373520315296	0.0990446759293778	0.0963304421365863	0.116919587657909	0.187115242234384	0.0911455232687671	0.114423904831361	0.0983087646615024	0.110264433228006	0.187115242234384	0.0723729034264882	0.144813163939751	0.132531137026922	0.352804168908283	0.417771003463052	0.135845860221771	0.0227221072171674	0.0953904059198168	0.120010724347649	0.119252808994115	0.291552702661114	0.0911455232687671	0.164337560459219	0.0936924528443452	0.262271818488535
GB130	0.22169025550888	0.129135759265134	0.154476201933141	0.145694639345612	0.333040118292727	0.132616079816915	0.0680101195848876	0.150688909972557	0.0911455234192839	0.128241283499231	0.0916555746260918	0.0929423396739018	0.12491067980576	0.264626701146063	0.0892466299913146	0.0974680683528534	0.120017982944094	0.0896108127622442	0.153604604830646	0.0379230434150256	0.102478479721931	0.102478479721931	0.0840486812621656	0.00848976567839131	0.139881941179434	0.0719370363336621	0.0589958015415404	0.102478479721931	0.0944851492202342	0.0911455232687671	0	0.00169795315072994	0	0	0.0840486812621656	0.0776781567626379	0.0840486812621656	0.0457192768502717	0.0251123120048732	0	0.0217847349592532	0.170605405713573	0.0986871425852631	0.0840486812621656	0.012375449310198	0.00679181260291976	0.0276079949819379	0.102478479721931	0	0.0251123122870922	0.149969651693045	0.0209528406649226	0.102478479721931	0.0204705727672336	0.0568814306999698	0.0455429531408079	0.292893744929872	0.368274970187081	0.0475368100698247	0.102240468892786	0.00424488295208324	0.0288652037881842	0.0297141802882907	0.220452701089659	0	0.0750259681219103	0.00254692972609491	0.188287875417507
GB132	0.223085886074437	0.130636035417668	0.155956830678865	0.147331348347543	0.334141687386566	0.13428131671566	0.0696159240300532	0.152125849416762	0.0928434765700138	0.128396147805633	0.0932308958485873	0.0929423396739018	0.126565228658493	0.266010413943517	0.0909445831420446	0.0990966914428605	0.121487053205269	0.0894749615096835	0.15518092913459	0.0396174058092363	0.100851172844719	0.100851172844719	0.0823507281114357	0.0101877188291213	0.141579894330164	0.073531542650678	0.0589049548061207	0.100851172844719	0.0957465067016657	0.0912365834369804	0.00169795315072994	0	0.00169795315072994	0.00169795315072994	0.0823507281114357	0.0792997945946726	0.0823507281114357	0.0473040682498855	0.0267761003865738	0.00169795315072994	0.0218029756550536	0.172013678484493	0.100367079479526	0.0823507281114357	0.0140553862891263	0.0084897657536497	0.0292717833636385	0.100851172844719	0.00169795315072994	0.0267761006687928	0.148561321876266	0.0226166290466232	0.100851172844719	0.0221685259179635	0.0568814306999698	0.0471870100708923	0.294108677843604	0.369342856334917	0.0491832962842903	0.103938422043516	0.00594283610281318	0.0305631569389141	0.0297141802882907	0.221814705002489	0.00169795315072994	0.0750442088177108	0.00424488287682485	0.18966612475689
GB136	0.22169025550888	0.129135759265134	0.154476201933141	0.145694639345612	0.333040118292727	0.132616079816915	0.0680101195848876	0.150688909972557	0.0911455234192839	0.128241283499231	0.0916555746260918	0.0929423396739018	0.12491067980576	0.264626701146063	0.0892466299913146	0.0974680683528534	0.120017982944094	0.0896108127622442	0.153604604830646	0.0379230434150256	0.102478479721931	0.102478479721931	0.0840486812621656	0.00848976567839131	0.139881941179434	0.0719370363336621	0.0589958015415404	0.102478479721931	0.0944851492202342	0.0911455232687671	0	0.00169795315072994	0	0	0.0840486812621656	0.0776781567626379	0.0840486812621656	0.0457192768502717	0.0251123120048732	0	0.0217847349592532	0.170605405713573	0.0986871425852631	0.0840486812621656	0.012375449310198	0.00679181260291976	0.0276079949819379	0.102478479721931	0	0.0251123122870922	0.149969651693045	0.0209528406649226	0.102478479721931	0.0204705727672336	0.0568814306999698	0.0455429531408079	0.292893744929872	0.368274970187081	0.0475368100698247	0.102240468892786	0.00424488295208324	0.0288652037881842	0.0297141802882907	0.220452701089659	0	0.0750259681219103	0.00254692972609491	0.188287875417507
GB141	0.22169025550888	0.129135759265134	0.154476201933141	0.145694639345612	0.333040118292727	0.132616079816915	0.0680101195848876	0.150688909972557	0.0911455234192839	0.128241283499231	0.0916555746260918	0.0929423396739018	0.12491067980576	0.264626701146063	0.0892466299913146	0.0974680683528534	0.120017982944094	0.0896108127622442	0.153604604830646	0.0379230434150256	0.102478479721931	0.102478479721931	0.0840486812621656	0.00848976567839131	0.139881941179434	0.0719370363336621	0.0589958015415404	0.102478479721931	0.0944851492202342	0.0911455232687671	0	0.00169795315072994	0	0	0.0840486812621656	0.0776781567626379	0.0840486812621656	0.0457192768502717	0.0251123120048732	0	0.0217847349592532	0.170605405713573	0.0986871425852631	0.0840486812621656	0.012375449310198	0.00679181260291976	0.0276079949819379	0.102478479721931	0	0.0251123122870922	0.149969651693045	0.0209528406649226	0.102478479721931	0.0204705727672336	0.0568814306999698	0.0455429531408079	0.292893744929872	0.368274970187081	0.0475368100698247	0.102240468892786	0.00424488295208324	0.0288652037881842	0.0297141802882907	0.220452701089659	0	0.0750259681219103	0.00254692972609491	0.188287875417507
GB148	0.293441598162507	0.202961426416431	0.22880848000447	0.224451922407054	0.394526269550275	0.211113361547692	0.102327283928077	0.222072386530915	0.170373520315296	0.197119550572501	0.169793489379714	0.0899943198980481	0.205584004671887	0.332088827936336	0.171688413153393	0.173324687613381	0.193979303042094	0.147408558046351	0.23163267368018	0.121734741661284	0.0219267812755072	0.0219267812755072	0	0.0755589155837743	0.217889991673556	0.146156829979384	0.0984120804703597	0.0219267812755072	0.163146975421996	0.170373520315296	0.0840486812621656	0.0823507281114357	0.0840486812621656	0.0840486812621656	0	0.158103714687656	0	0.125925310633399	0.0975965586011157	0.0840486812621656	0.100851172637759	0.240314915475219	0.178764052388042	0	0.095532327288329	0.0772568686592458	0.0951555979184129	0.0219267812755072	0.0840486812621656	0.0975965583565259	0.137883669405122	0.101664826179845	0.0219267812755072	0.102821299373501	0.0271672505621958	0.125763806053484	0.352565751834349	0.421828112818978	0.0966160379989882	0.166602719989088	0.0798037983100824	0.0551834774739815	0.0543345009738749	0.285972621404763	0.0840486812621656	0.0487773478633226	0.0815017515360707	0.25651122373764
GB151	0.226507869520874	0.179973728672573	0.178595132584862	0.136115322416328	0.314913241700693	0.138395819248575	0.139636831301631	0.148199768304223	0.0975535006986724	0.134127691990197	0.143620784827179	0.142651250679987	0.118348679947432	0.269625864885371	0.0957119281243796	0.140654651946717	0.184848795560273	0.138872786989492	0.15942013233599	0.0828284234786876	0.174356782300906	0.174356782300906	0.158103714687656	0.085929760333113	0.145407346462963	0.1263299721359	0.132234216197347	0.174356782300906	0.161541037242671	0.0975535006986724	0.0776781567626379	0.0792997945946726	0.0776781567626379	0.0776781567626379	0.158103714687656	0	0.158103714687656	0.118127590148813	0.100254772362685	0.0776781567626379	0.0971479846371545	0.229562151612658	0.105096077367739	0.158103714687656	0.0854717974899092	0.0840880924158476	0.102670765115005	0.174356782300906	0.0776781567626379	0.100321897597174	0.171976350704114	0.096314378233269	0.174356782300906	0.082894833777288	0.132463389800655	0.1180431168771	0.309922192734901	0.359330210872371	0.120957021535647	0.108979581732943	0.0816189607680596	0.105303581973368	0.106384770389684	0.256703751970722	0.0776781567626379	0.148017358561658	0.0801502539860931	0.245423605496233
